year,download date,office,link
2000,12/13/24,pres,https://whs.access.preservica.com/uncategorized/IO_b68aab9d-3d03-49d7-9337-f5ca5b051a0c/
2000,12/13/24,congress,https://whs.access.preservica.com/uncategorized/IO_2eb9cd80-2c20-4679-8ed7-fe65177eef01/
2000,12/13/24,senate,https://whs.access.preservica.com/uncategorized/IO_79b36bd3-663f-47cf-8c8b-6774a5731044/
2002,12/12/24,gov,https://whs.access.preservica.com/uncategorized/IO_4326bb83-1615-4e4b-a49e-fdb78a3ca3ee/
2002,12/12/24,congress,https://whs.access.preservica.com/uncategorized/IO_815e618a-51a8-4e18-9691-67d64e8a85eb/
2004,12/13/24,pres,https://whs.access.preservica.com/uncategorized/IO_b98b3724-5a91-4a17-8a7a-5256cedfa565/
2004,12/13/24,senate,https://whs.access.preservica.com/uncategorized/IO_9289402d-e4d3-4af4-afee-0effe354635b/
2004,12/13/24,congress,https://whs.access.preservica.com/uncategorized/IO_67ac736c-7229-44c4-96e6-fb40557168a3/
2006,12/13/24,gov,https://whs.access.preservica.com/uncategorized/IO_e2ebf450-b933-44f0-b6fc-63b89630e562/
2006,12/13/24,congress,https://whs.access.preservica.com/uncategorized/IO_9f2b87e9-58d2-4187-897b-9b87b0f0f031/
2006,12/13/24,senate,https://whs.access.preservica.com/uncategorized/IO_d1a92c12-4a16-4dcf-8313-8953fbd479f4/
2008,12/13/24,pres,https://whs.access.preservica.com/uncategorized/IO_771b7b0c-abf8-4e3e-a941-afa56ce71dc9/
2008,12/13/24,congress,https://whs.access.preservica.com/uncategorized/IO_02c328e7-67a8-413b-a375-40afef3afd24/
2010,12/13/24,congress,https://whs.access.preservica.com/uncategorized/IO_924f3519-eb8c-4111-8e77-41b9cffc09db/
2010,12/13/24,gov,https://whs.access.preservica.com/uncategorized/IO_924f3519-eb8c-4111-8e77-41b9cffc09db/
2010,12/13/24,senate,https://whs.access.preservica.com/uncategorized/IO_924f3519-eb8c-4111-8e77-41b9cffc09db/
2012,12/13/24,congress,https://whs.access.preservica.com/uncategorized/IO_924f3519-eb8c-4111-8e77-41b9cffc09db/
2012,12/13/24,pres,https://whs.access.preservica.com/uncategorized/IO_924f3519-eb8c-4111-8e77-41b9cffc09db/
2012,12/13/24,senate,https://whs.access.preservica.com/uncategorized/IO_924f3519-eb8c-4111-8e77-41b9cffc09db/
2012,,gov,
2014,12/13/24,gov,https://elections.wi.gov/sites/default/files/legacy/11.4.2014%2520Election%2520Results%2520-%2520all%2520offices%2520w%2520x%2520w%2520report.xlsx
2014,12/13/24,congress,https://elections.wi.gov/sites/default/files/legacy/11.4.2014%2520Election%2520Results%2520-%2520all%2520offices%2520w%2520x%2520w%2520report.xlsx
2016,12/13/24,pres,https://elections.wi.gov/sites/default/files/legacy/PresidentContest_RecountResult_WardByWard_withDistricts.xlsx
2016,12/13/24,congress,https://elections.wi.gov/sites/default/files/legacy/Ward%2520by%2520Ward%2520Report%2520-Congress.xlsx
2016,12/13/24,senate,https://elections.wi.gov/sites/default/files/legacy/Ward%2520by%2520Ward%2520Report%2520-US%2520Senator.xlsx
2018,12/13/24,congress,https://elections.wi.gov/sites/default/files/legacy/Ward%2520by%2520Ward%2520Report-Gen%2520Election-Congress_0.xlsx
2018,12/13/24,gov,https://elections.wi.gov/sites/default/files/legacy/2018%2520General%2520Election%2520Governor%2520Contest%2520Candidates%2520with%2520Districts.xlsx
2018,12/13/24,senate,https://elections.wi.gov/sites/default/files/legacy/US%2520Senator_WardByWard_withDistricts%25202018%2520General_0.xlsx
2020,12/13/24,congress,https://elections.wi.gov/sites/default/files/legacy/Ward%2520by%2520Ward%2520Report%2520-%2520Representative%2520in%2520Congress.xlsx
2020,12/13/24,pres,https://elections.wi.gov/sites/default/files/legacy/Ward%2520by%2520Ward%2520Report%2520PRESIDENT%2520OF%2520THE%2520UNITED%2520STATES%2520by%2520State%2520Representive%2520District%2520-%2520After%2520Recount.xlsx
2022,12/13/24,congress,https://elections.wi.gov/sites/default/files/documents/Ward%20by%20Ward%20Report_Representative%20in%20Congress_0.xlsx
2022,12/13/24,gov,https://elections.wi.gov/sites/default/files/documents/2022%20%20Governor%20by%20reporting%20unit%20with%20Congressional%2C%20State%20Senate%2C%20Assembly%20district.xlsx
2022,12/13/24,senate,https://elections.wi.gov/sites/default/files/documents/Ward%20by%20Ward%20Report%20by%20Congressional%20District%20-%20US%20Senate.xlsx